Date,Cases,GTrend,Traffic,Bike
2020-03-08,1.43,0.08,181.46,9.94
2020-03-09,2.14,0.13,123.85,9.46
2020-03-10,3.71,0.16,66.65,9.6
2020-03-11,5.57,0.21,9.46,8.45
2020-03-12,8.43,0.47,9.6,8.21
2020-03-13,12.57,1.07,8.45,7.98
2020-03-14,16.57,1.81,8.21,8.19
2020-03-15,21.86,2.51,7.98,8.33
2020-03-16,32.29,4.24,8.19,8.99
2020-03-17,44.43,6.51,8.33,8.81
2020-03-18,65.71,8.84,8.99,9.61
2020-03-19,88.86,11.53,8.81,9.66
2020-03-20,106.43,14.15,9.61,10.05
2020-03-21,119.86,16.74,9.66,10.37
2020-03-22,138.14,20.77,10.05,10.12
2020-03-23,168.43,24.85,10.37,10.36
2020-03-24,204.71,27.72,10.12,10.87
2020-03-25,234.0,31.74,10.36,10.23
2020-03-26,266.86,32.37,10.87,9.96
2020-03-27,302.57,33.51,10.23,9.71
2020-03-28,320.14,33.64,9.96,11.37
2020-03-29,336.43,34.42,9.71,11.91
2020-03-30,357.71,32.76,11.37,10.93
2020-03-31,377.57,32.45,11.91,10.78
2020-04-01,391.0,29.34,10.93,10.96
2020-04-02,394.43,29.66,10.78,11.56
2020-04-03,403.29,29.85,10.96,11.83
2020-04-04,414.57,30.31,11.56,9.95
2020-04-05,416.0,30.93,11.83,9.61
2020-04-06,436.57,32.43,9.95,10.23
2020-04-07,446.0,33.14,9.61,10.42
2020-04-08,480.86,36.04,10.23,10.43
2020-04-09,500.71,35.52,10.42,10.93
2020-04-10,515.57,34.46,10.43,10.87
2020-04-11,525.57,33.07,10.93,11.89
2020-04-12,532.57,30.6,10.87,11.8
2020-04-13,548.14,28.14,11.89,11.51
2020-04-14,563.71,24.61,11.8,11.79
2020-04-15,552.86,20.33,11.51,12.02
2020-04-16,567.57,19.03,11.79,10.98
2020-04-17,596.86,17.77,12.02,10.83
2020-04-18,616.43,17.49,10.98,10.04
2020-04-19,633.14,15.66,10.83,10.2
2020-04-20,675.57,14.3,10.04,10.43
2020-04-21,705.0,14.06,10.2,9.85
2020-04-22,765.71,14.05,10.43,10.19
2020-04-23,878.0,13.65,9.85,11.51
2020-04-24,920.57,13.46,10.19,12.64
2020-04-25,934.57,13.75,11.51,12.93
2020-04-26,931.14,14.51,12.64,13.68
2020-04-27,955.0,14.56,12.93,14.06
2020-04-28,1019.71,15.46,13.68,14.44
2020-04-29,1033.57,15.72,14.06,14.02
2020-04-30,1005.71,15.79,14.44,13.64
2020-05-01,1019.43,16.32,14.02,13.1
2020-05-02,1031.71,16.12,13.64,13.67
2020-05-03,1036.57,15.37,13.1,15.09
2020-05-04,1031.29,15.18,13.67,16.15
2020-05-05,998.0,14.67,15.09,17.69
2020-05-06,972.71,15.24,16.15,18.44
2020-05-07,925.43,16.08,17.69,19.4
2020-05-08,890.29,15.78,18.44,19.07
2020-05-09,862.14,15.59,19.4,18.79
2020-05-10,839.14,15.52,19.07,17.39
2020-05-11,824.43,15.72,18.79,15.87
2020-05-12,803.43,15.79,17.39,13.89
2020-05-13,789.43,15.18,15.87,14.39
2020-05-14,766.14,15.18,13.89,12.81
2020-05-15,772.71,14.97,14.39,13.9
2020-05-16,771.86,14.53,12.81,12.88
2020-05-17,774.57,14.61,13.9,12.75
2020-05-18,764.29,14.64,12.88,13.65
2020-05-19,756.86,13.97,12.75,13.49
2020-05-20,741.29,13.89,13.65,12.11
2020-05-21,744.86,12.4,13.49,12.15
2020-05-22,709.71,11.4,12.11,11.11
2020-05-23,683.0,11.75,12.15,12.06
2020-05-24,676.29,11.8,11.11,11.61
2020-05-25,577.43,11.57,12.06,11.42
2020-05-26,558.0,11.45,11.61,12.41
2020-05-27,535.71,10.67,11.42,12.98
2020-05-28,495.86,10.51,12.41,12.64
2020-05-29,458.14,11.02,12.98,11.99
2020-05-30,445.29,10.85,12.64,11.78
2020-05-31,422.71,10.21,11.99,12.3
2020-06-01,420.43,10.49,11.78,12.5
