Date,Cases,GTrend,Traffic,Bike
2020-03-07,1.0,0.09,597.45,11.87
2020-03-08,1.43,0.1,644.76,11.6
2020-03-09,2.14,0.09,644.54,10.98
2020-03-10,3.71,0.09,597.45,9.94
2020-03-11,5.57,0.1,644.76,9.46
2020-03-12,8.43,0.09,644.54,9.6
2020-03-13,12.57,0.09,540.39,8.45
2020-03-14,16.57,0.1,483.41,8.21
2020-03-15,21.86,0.09,378.5,7.98
2020-03-16,32.29,0.1,274.2,8.19
2020-03-17,44.43,0.14,217.01,8.33
2020-03-18,65.71,0.21,112.85,8.99
2020-03-19,88.86,0.26,8.45,8.81
2020-03-20,106.43,0.58,8.21,9.61
2020-03-21,119.86,1.48,7.98,9.66
2020-03-22,138.14,1.9,8.19,10.05
2020-03-23,168.43,2.7,8.33,10.37
2020-03-24,204.71,4.26,8.99,10.12
2020-03-25,234.0,6.38,8.81,10.36
2020-03-26,266.86,9.04,9.61,10.87
2020-03-27,302.57,12.93,9.66,10.23
2020-03-28,320.14,16.3,10.05,9.96
2020-03-29,336.43,21.81,10.37,9.71
2020-03-30,357.71,26.51,10.12,11.37
2020-03-31,377.71,29.75,10.36,11.91
2020-04-01,391.14,32.07,10.87,10.93
2020-04-02,394.57,34.91,10.23,10.78
2020-04-03,403.43,34.55,9.96,10.96
2020-04-04,414.71,35.75,9.71,11.56
2020-04-05,416.14,34.91,11.37,11.83
2020-04-06,436.43,36.06,11.91,9.95
2020-04-07,445.71,36.83,10.93,9.61
2020-04-08,480.57,37.8,10.78,10.23
2020-04-09,500.43,37.87,10.96,10.42
2020-04-10,515.29,36.71,11.56,10.43
2020-04-11,525.29,35.29,11.83,10.93
2020-04-12,532.29,35.01,9.95,10.87
2020-04-13,548.14,33.72,9.61,11.89
2020-04-14,563.86,33.49,10.23,11.8
2020-04-15,553.0,32.19,10.42,11.51
2020-04-16,567.71,31.19,10.43,11.79
2020-04-17,597.0,31.08,10.93,12.02
2020-04-18,616.57,30.21,10.87,10.98
2020-04-19,633.29,28.34,11.89,10.83
2020-04-20,675.71,25.04,11.8,10.04
2020-04-21,705.0,23.08,11.51,10.2
2020-04-22,765.71,21.46,11.79,10.43
2020-04-23,878.0,19.74,12.02,9.85
2020-04-24,920.43,18.77,10.98,10.19
2020-04-25,934.43,18.09,10.83,11.51
2020-04-26,931.0,16.42,10.04,12.64
2020-04-27,954.86,15.59,10.2,12.93
2020-04-28,1019.43,13.7,10.43,13.68
2020-04-29,1033.29,12.87,9.85,14.06
2020-04-30,1005.43,11.61,10.19,14.44
2020-05-01,1019.29,11.22,11.51,14.02
2020-05-02,1031.57,10.66,12.64,13.64
2020-05-03,1036.43,11.82,12.93,13.1
2020-05-04,1031.14,12.52,13.68,13.67
2020-05-05,998.0,13.32,14.06,15.09
2020-05-06,972.71,13.53,14.44,16.15
2020-05-07,925.29,13.8,14.02,17.69
2020-05-08,890.14,14.88,13.64,18.44
2020-05-09,861.86,15.33,13.1,19.4
2020-05-10,838.86,15.07,13.67,19.07
2020-05-11,824.14,15.08,15.09,18.79
2020-05-12,803.14,14.27,16.15,17.39
2020-05-13,789.14,14.63,17.69,15.87
2020-05-14,765.86,14.18,18.44,13.89
2020-05-15,772.43,13.46,19.4,14.39
2020-05-16,771.71,13.01,19.07,12.81
2020-05-17,774.43,12.9,18.79,13.9
2020-05-18,764.14,13.55,17.39,12.88
2020-05-19,756.71,13.88,15.87,12.75
2020-05-20,741.14,14.62,13.89,13.65
2020-05-21,744.86,14.4,14.39,13.49
2020-05-22,709.71,14.65,12.81,12.11
2020-05-23,683.0,14.14,13.9,12.15
2020-05-24,676.29,14.01,12.88,11.11
2020-05-25,577.43,14.33,12.75,12.06
2020-05-26,558.0,14.08,13.65,11.61
2020-05-27,535.57,12.53,13.49,11.42
2020-05-28,495.71,13.01,12.11,12.41
2020-05-29,458.0,12.92,12.15,12.98
2020-05-30,445.14,12.96,11.11,12.64
2020-05-31,422.57,14.02,12.06,11.99
2020-06-01,420.29,13.24,11.61,11.78
2020-06-02,347.43,13.2,11.42,12.3
2020-06-03,300.29,13.21,12.41,12.5
2020-06-04,271.14,12.6,12.98,11.25
2020-06-05,253.86,11.59,12.64,12.0
2020-06-06,244.14,11.78,11.99,12.87
