Date,Cases,GTrend,Traffic
2020-03-10,3.71,0.13,540.39
2020-03-11,5.57,0.17,483.41
2020-03-12,8.43,0.15,378.5
2020-03-13,12.57,0.14,274.2
2020-03-14,16.57,0.17,217.01
2020-03-15,21.86,0.16,112.85
2020-03-16,32.29,0.18,8.45
2020-03-17,44.43,0.6,8.21
2020-03-18,65.71,1.39,7.98
2020-03-19,88.86,2.43,8.19
2020-03-20,106.43,3.55,8.33
2020-03-21,119.86,5.91,8.99
2020-03-22,138.14,8.07,8.81
2020-03-23,168.43,10.94,9.61
2020-03-24,204.71,14.24,9.66
2020-03-25,234.0,17.53,10.05
2020-03-26,266.86,22.62,10.37
2020-03-27,302.57,27.07,10.12
2020-03-28,320.14,30.65,10.36
2020-03-29,336.43,33.91,10.87
2020-03-30,357.71,37.14,10.23
2020-03-31,377.57,37.12,9.96
2020-04-01,391.0,39.56,9.71
2020-04-02,394.43,38.06,11.37
2020-04-03,403.29,36.93,11.91
2020-04-04,414.57,36.92,10.93
2020-04-05,416.0,37.57,10.78
2020-04-06,436.57,35.65,10.96
2020-04-07,446.0,35.66,11.56
2020-04-08,480.86,33.02,11.83
2020-04-09,500.71,31.64,9.95
2020-04-10,515.57,32.5,9.61
2020-04-11,525.57,29.89,10.23
2020-04-12,532.57,27.77,10.42
2020-04-13,548.14,28.3,10.43
2020-04-14,563.71,28.05,10.93
2020-04-15,552.86,26.56,10.87
2020-04-16,567.57,25.62,11.89
2020-04-17,596.86,22.92,11.8
2020-04-18,616.43,22.35,11.51
2020-04-19,633.14,21.59,11.79
2020-04-20,675.57,18.91,12.02
2020-04-21,705.0,17.47,10.98
2020-04-22,765.71,16.9,10.83
2020-04-23,878.0,16.2,10.04
2020-04-24,920.57,15.13,10.2
2020-04-25,934.57,14.18,10.43
2020-04-26,931.14,12.83,9.85
2020-04-27,955.0,12.22,10.19
2020-04-28,1019.71,11.78,11.51
2020-04-29,1033.57,11.73,12.64
2020-04-30,1005.71,12.77,12.93
2020-05-01,1019.43,13.92,13.68
2020-05-02,1031.71,14.08,14.06
2020-05-03,1036.71,13.99,14.44
2020-05-04,1031.43,14.36,14.02
2020-05-05,998.14,14.6,13.64
2020-05-06,972.86,15.29,13.1
2020-05-07,925.57,14.22,13.67
2020-05-08,890.43,13.34,15.09
2020-05-09,862.29,13.0,16.15
2020-05-10,839.14,13.71,17.69
2020-05-11,824.43,14.48,18.44
2020-05-12,803.43,15.15,19.4
2020-05-13,789.43,15.3,19.07
2020-05-14,766.14,15.97,18.79
2020-05-15,772.71,15.81,17.39
2020-05-16,771.86,16.49,15.87
2020-05-17,774.57,17.26,13.89
2020-05-18,764.29,16.41,14.39
2020-05-19,756.86,16.27,12.81
2020-05-20,741.29,15.55,13.9
2020-05-21,744.86,14.97,12.88
2020-05-22,709.71,15.93,12.75
2020-05-23,683.0,15.07,13.65
2020-05-24,676.29,13.57,13.49
2020-05-25,577.43,14.22,12.11
2020-05-26,558.0,13.94,12.15
2020-05-27,535.71,14.07,11.11
2020-05-28,495.86,15.16,12.06
2020-05-29,458.14,14.7,11.61
2020-05-30,445.29,15.05,11.42
2020-05-31,422.71,15.72,12.41
2020-06-01,420.43,15.31,12.98
2020-06-02,347.57,14.62,12.64
2020-06-03,300.29,14.76,11.99
2020-06-04,271.14,14.46,11.78
2020-06-05,253.86,14.9,12.3
2020-06-06,244.14,14.88,12.5
2020-06-07,242.57,14.23,11.25
2020-06-08,248.0,14.6,12.0
2020-06-09,249.29,14.95,12.87
2020-06-10,242.57,14.25,13.06
2020-06-11,226.0,12.7,13.78
2020-06-12,213.0,11.16,13.86
2020-06-13,206.0,10.56,13.14
2020-06-14,203.43,9.92,13.81
2020-06-15,197.86,8.9,13.26
2020-06-16,191.86,7.82,13.32
2020-06-17,189.86,7.09,14.69
2020-06-18,187.29,6.78,13.69
2020-06-19,183.0,6.48,15.37
2020-06-20,183.57,6.17,15.46
2020-06-21,177.14,6.28,14.58
2020-06-22,174.86,5.83,15.45
2020-06-23,177.86,6.37,15.11
2020-06-24,181.29,6.89,14.43
2020-06-25,190.43,7.57,14.63
2020-06-26,190.57,8.16,13.82
2020-06-27,191.29,8.53,14.59
2020-06-28,200.29,7.95,15.71
2020-06-29,209.0,7.81,14.68
2020-06-30,213.57,7.49,14.87
2020-07-01,217.0,7.87,14.82
2020-07-02,218.14,9.42,16.5
2020-07-03,212.0,10.46,14.81
2020-07-04,202.43,12.44,13.87
2020-07-05,199.43,14.24,13.47
2020-07-06,199.86,16.77,13.4
2020-07-07,211.0,20.97,13.44
2020-07-08,217.0,24.71,13.02
2020-07-09,221.57,26.91,13.6
2020-07-10,245.71,27.56,14.14
2020-07-11,258.71,27.87,13.96
2020-07-12,259.86,29.71,14.22
2020-07-13,267.57,29.06,14.19
2020-07-14,264.86,28.44,14.61
2020-07-15,258.86,28.82,16.67
2020-07-16,260.14,27.81,15.35
2020-07-17,257.43,28.97,17.99
2020-07-18,254.29,30.19,21.32
2020-07-19,254.71,29.41,23.29
2020-07-20,262.57,30.9,24.37
2020-07-21,257.86,31.58,25.56
2020-07-22,271.71,31.61,24.79
2020-07-23,274.71,33.55,24.81
2020-07-24,277.71,35.43,23.52
2020-07-25,281.14,34.14,21.19
2020-07-26,280.57,36.75,20.65
2020-07-27,276.14,36.13,19.44
2020-07-28,282.0,33.68,17.56
2020-07-29,293.71,31.11,16.61
2020-07-30,296.86,28.02,16.18
2020-07-31,303.29,24.3,16.15
2020-08-01,301.0,24.24,15.87
2020-08-02,300.86,20.48,14.59
2020-08-03,310.43,19.57,14.39
2020-08-04,315.71,20.35,14.67
2020-08-05,306.0,21.44,14.57
2020-08-06,307.29,23.44,14.41
2020-08-07,311.0,25.82,13.25
2020-08-08,316.29,27.89,12.68
2020-08-09,319.14,29.14,12.24
2020-08-10,311.71,31.02,12.25
2020-08-11,313.86,31.13,12.0
2020-08-12,321.71,32.04,11.92
2020-08-13,327.71,31.37,12.07
2020-08-14,317.57,32.22,12.02
2020-08-15,323.86,30.79,12.27
2020-08-16,324.57,31.41,11.45
2020-08-17,341.29,31.49,11.61
2020-08-18,345.29,31.56,11.44
2020-08-19,352.57,29.3,11.46
2020-08-20,357.29,28.19,11.38
2020-08-21,369.29,24.85,11.31
2020-08-22,365.0,25.23,11.71
2020-08-23,366.29,24.06,12.41
2020-08-24,375.29,21.53,12.41
2020-08-25,375.29,20.12,14.25
2020-08-26,361.57,19.8,14.43
2020-08-27,356.0,19.43,14.41
2020-08-28,349.0,19.57,15.18
2020-08-29,355.29,18.45,14.83
2020-08-30,351.29,17.76,15.15
2020-08-31,330.86,17.52,15.2
2020-09-01,319.29,17.63,13.54
2020-09-02,322.0,17.77,14.39
2020-09-03,315.57,17.24,14.35
2020-09-04,317.57,17.72,13.82
2020-09-05,313.0,16.47,13.42
2020-09-06,319.0,15.99,13.45
2020-09-07,270.29,17.54,12.31
2020-09-08,275.57,17.73,12.36
2020-09-09,274.71,17.95,11.54
2020-09-10,273.14,18.81,11.63
2020-09-11,265.57,19.02,10.93
2020-09-12,256.0,19.6,11.02
2020-09-13,253.14,21.04,10.96
2020-09-14,304.29,20.96,11.32
2020-09-15,302.29,19.88,11.7
2020-09-16,297.29,18.97,11.14
2020-09-17,306.43,18.79,11.14
2020-09-18,308.57,17.66,11.8
2020-09-19,313.43,17.63,11.81
2020-09-20,311.43,16.46,11.62
2020-09-21,310.14,15.43,11.55
2020-09-22,309.86,16.92,10.42
2020-09-23,313.43,18.13,10.27
2020-09-24,315.71,18.26,9.87
2020-09-25,318.86,18.73,10.88
2020-09-26,327.71,19.23,11.79
2020-09-27,336.14,19.28,11.93
2020-09-28,336.0,20.1,12.82
2020-09-29,340.29,19.94,13.85
2020-09-30,350.86,20.24,15.3
2020-10-01,344.14,20.35,16.06
2020-10-02,348.71,21.05,15.38
2020-10-03,347.43,21.09,14.98
2020-10-04,344.86,22.28,14.57
2020-10-05,363.71,21.94,14.51
2020-10-06,388.57,21.6,13.95
2020-10-07,400.14,22.78,13.07
2020-10-08,435.0,22.78,12.07
2020-10-09,471.71,23.4,11.26
2020-10-10,503.14,22.04,10.93
2020-10-11,524.43,21.24,11.63
2020-10-12,542.86,21.18,11.14
2020-10-13,589.29,22.2,11.5
2020-10-14,632.86,21.0,10.64
2020-10-15,675.86,23.15,10.37
2020-10-16,716.43,23.64,10.04
2020-10-17,731.29,24.72,10.5
2020-10-18,738.14,26.58,9.88
2020-10-19,807.57,26.55,10.52
2020-10-20,852.43,25.79,9.92
2020-10-21,899.43,26.15,10.1
2020-10-22,956.43,24.24,11.17
2020-10-23,965.71,24.84,11.04
2020-10-24,1014.14,26.25,9.82
2020-10-25,1039.86,25.71,9.94
2020-10-26,1093.14,26.56,9.26
2020-10-27,1155.14,27.38,9.88
2020-10-28,1235.86,27.98,9.94
2020-10-29,1318.57,29.94,8.96
2020-10-30,1440.0,29.91,9.25
2020-10-31,1465.57,31.42,10.05
2020-11-01,1494.29,33.23,10.64
2020-11-02,1605.29,34.89,11.29
2020-11-03,1678.29,37.04,11.32
2020-11-04,1787.29,39.82,12.06
2020-11-05,1894.43,40.7,12.48
2020-11-06,2024.14,45.86,12.73
2020-11-07,2096.57,47.81,11.92
2020-11-08,2150.57,51.1,11.73
2020-11-09,2279.57,54.66,11.29
2020-11-10,2451.86,54.99,11.55
2020-11-11,2447.71,56.02,11.78
2020-11-12,2488.43,59.47,11.25
2020-11-13,2476.14,56.33,11.43
2020-11-14,2451.57,56.3,11.64
2020-11-15,2412.57,54.58,11.99
2020-11-16,2318.14,52.44,11.63
2020-11-17,2191.29,56.01,11.12
2020-11-18,2168.0,60.41,10.38
2020-11-19,2060.71,63.44,10.39
2020-11-20,2005.29,67.84,10.51
2020-11-21,1985.86,71.94,10.31
2020-11-22,1978.43,76.26,9.24
2020-11-23,1952.57,81.93,9.67
2020-11-24,1876.71,82.53,9.77
2020-11-25,1807.29,81.51,9.65
2020-11-26,1535.29,78.47,10.42
2020-11-27,1385.0,80.01,9.97
2020-11-28,1400.71,78.46,9.7
2020-11-29,1416.57,77.81,9.48
2020-11-30,1416.71,75.77,8.69
2020-12-01,1454.0,72.27,8.23
2020-12-02,1485.57,69.65,8.19
2020-12-03,1743.57,67.65,7.29
2020-12-04,1829.57,60.8,6.7
2020-12-05,1805.43,55.66,8.2
2020-12-06,1779.29,48.67,9.05
2020-12-07,1733.71,45.91,9.72
2020-12-08,1715.43,43.37,10.58
2020-12-09,1673.14,38.85,10.84
2020-12-10,1620.71,37.76,11.15
2020-12-11,1595.43,39.11,12.82
2020-12-12,1553.57,39.92,12.74
2020-12-13,1539.43,40.63,13.17
2020-12-14,1454.29,38.2,12.74
2020-12-15,1391.43,40.08,12.31
2020-12-16,1338.57,41.69,13.08
2020-12-17,1287.71,40.16,13.29
2020-12-18,1233.86,38.53,12.2
2020-12-19,1226.14,37.82,10.86
2020-12-20,1222.43,38.61,9.27
2020-12-21,1223.43,39.24,9.86
2020-12-22,1183.86,39.21,10.23
2020-12-23,1160.14,38.25,9.54
2020-12-24,1056.14,38.7,9.84
2020-12-25,893.86,39.16,10.17
2020-12-26,908.14,38.89,10.99
2020-12-27,912.86,37.05,12.23
2020-12-28,941.14,36.83,11.43
2020-12-29,995.0,34.1,10.68
2020-12-30,1027.86,33.73,11.04
2020-12-31,1078.57,33.66,10.75
2021-01-01,1093.57,32.84,10.44
2021-01-02,1115.71,32.4,10.92
2021-01-03,1119.86,30.48,11.29
2021-01-04,1150.0,28.82,12.21
2021-01-05,1133.57,30.0,12.24
2021-01-06,1135.43,29.61,11.82
2021-01-07,1193.14,28.36,12.37
2021-01-08,1327.86,28.91,12.73
2021-01-09,1280.43,28.88,12.6
2021-01-10,1259.57,32.28,12.1
2021-01-11,1185.43,34.24,11.48
2021-01-12,1111.71,33.0,11.92
2021-01-13,1061.86,33.51,11.83
2021-01-14,1015.14,34.81,11.29
2021-01-15,988.14,32.9,10.73
2021-01-16,966.14,31.71,10.81
2021-01-17,951.29,29.82,10.52
2021-01-18,859.0,27.06,11.3
2021-01-19,858.29,26.52,12.07
2021-01-20,812.14,24.31,11.43
2021-01-21,778.43,21.92,11.02
2021-01-22,737.86,21.34,11.13
2021-01-23,731.43,21.36,10.14
2021-01-24,723.14,20.76,10.01
2021-01-25,743.71,20.75,9.51
2021-01-26,680.43,19.61,8.2
2021-01-27,661.43,19.25,8.96
2021-01-28,631.86,18.29,9.2
2021-01-29,610.86,17.08,9.23
2021-01-30,588.0,15.77,9.09
2021-01-31,562.71,15.14,9.8
2021-02-01,527.29,14.2,10.49
2021-02-02,528.14,14.34,10.95
2021-02-03,516.43,13.42,10.41
2021-02-04,505.71,13.09,11.17
2021-02-05,479.43,12.27,11.54
2021-02-06,457.29,11.78,11.05
2021-02-07,464.43,11.37,10.61
2021-02-08,432.86,11.0,9.67
2021-02-09,399.43,10.61,9.48
2021-02-10,369.57,11.91,12.0
2021-02-11,356.43,12.12,12.06
2021-02-12,349.43,13.59,13.17
2021-02-13,342.86,14.93,15.43
2021-02-14,333.29,15.53,15.14
2021-02-15,314.43,15.81,16.73
2021-02-16,285.71,16.81,17.38
2021-02-17,288.57,16.54,15.25
2021-02-18,270.57,16.64,15.57
2021-02-19,265.43,15.56,13.99
2021-02-20,264.43,14.71,12.48
2021-02-21,266.43,15.69,12.64
2021-02-22,285.43,16.6,11.63
2021-02-23,300.14,15.83,10.9
2021-02-24,293.0,15.07,11.42
2021-02-25,288.14,14.83,10.42
2021-02-26,293.57,15.1,11.4
2021-02-27,288.57,14.65,11.21
2021-02-28,287.43,13.53,11.32
2021-03-01,276.29,12.02,11.48
2021-03-02,278.57,11.75,12.86
2021-03-03,278.71,12.23,12.49
2021-03-04,278.86,12.46,11.95
2021-03-05,268.86,12.12,11.25
2021-03-06,274.0,12.34,11.83
2021-03-07,277.43,11.83,14.37
2021-03-08,278.86,11.3,13.88
2021-03-09,278.29,11.42,14.59
2021-03-10,277.57,10.77,17.14
2021-03-11,286.43,11.36,19.46
2021-03-12,294.71,12.01,18.94
2021-03-13,300.0,12.29,18.7
2021-03-14,301.29,12.94,17.51
2021-03-15,307.43,13.66,18.81
2021-03-16,324.43,14.17,17.5
2021-03-17,345.0,15.17,14.89
2021-03-18,355.43,14.45,13.05
2021-03-19,367.86,13.57,14.29
2021-03-20,371.14,13.17,14.81
2021-03-21,376.43,12.56,14.57
2021-03-22,400.43,12.38,13.93
2021-03-23,417.0,12.2,13.13
2021-03-24,445.29,11.02,12.65
2021-03-25,481.0,10.55,13.08
2021-03-26,503.71,10.73,12.41
2021-03-27,522.29,10.74,11.33
2021-03-28,540.43,10.47,10.38
2021-03-29,567.43,10.5,9.32
2021-03-30,590.43,10.11,10.24
2021-03-31,595.0,10.25,11.38
2021-04-01,601.57,10.86,11.26
2021-04-02,612.71,11.03,13.85
2021-04-03,620.0,11.26,16.81
2021-04-04,613.29,11.87,18.64
2021-04-05,643.43,12.22,20.93
2021-04-06,663.0,13.27,21.51
2021-04-07,681.43,14.49,22.7
2021-04-08,700.57,15.74,24.86
2021-04-09,714.57,16.06,24.4
2021-04-10,727.57,15.91,24.59
2021-04-11,736.0,15.59,22.61
2021-04-12,729.29,15.92,22.32
2021-04-13,702.86,15.88,22.56
2021-04-14,694.14,15.75,22.29
2021-04-15,661.57,14.44,20.84
