Date,Cases,GTrend,Traffic,Bike
2020-03-10,3.71,0.2,597.45,9.94
2020-03-11,5.57,0.24,644.76,9.46
2020-03-12,8.43,0.2,644.54,9.6
2020-03-13,12.57,0.2,540.39,8.45
2020-03-14,16.57,0.24,483.41,8.21
2020-03-15,21.86,0.2,378.5,7.98
2020-03-16,32.29,0.21,274.2,8.19
2020-03-17,44.43,0.23,217.01,8.33
2020-03-18,65.71,0.23,112.85,8.99
2020-03-19,88.86,0.27,8.45,8.81
2020-03-20,106.43,0.42,8.21,9.61
2020-03-21,119.86,1.09,7.98,9.66
2020-03-22,138.14,1.59,8.19,10.05
2020-03-23,168.43,2.29,8.33,10.37
2020-03-24,204.71,4.36,8.99,10.12
2020-03-25,234.0,6.41,8.81,10.36
2020-03-26,266.86,8.58,9.61,10.87
2020-03-27,302.57,12.31,9.66,10.23
2020-03-28,320.14,16.32,10.05,9.96
2020-03-29,336.43,20.29,10.37,9.71
2020-03-30,357.71,24.98,10.12,11.37
2020-03-31,377.71,29.96,10.36,11.91
2020-04-01,391.14,32.46,10.87,10.93
2020-04-02,394.57,35.79,10.23,10.78
2020-04-03,403.43,35.9,9.96,10.96
2020-04-04,414.71,37.31,9.71,11.56
2020-04-05,416.14,37.19,11.37,11.83
2020-04-06,436.43,37.49,11.91,9.95
2020-04-07,445.71,34.11,10.93,9.61
2020-04-08,480.57,34.18,10.78,10.23
2020-04-09,500.43,33.02,10.96,10.42
2020-04-10,515.29,32.15,11.56,10.43
2020-04-11,525.29,30.28,11.83,10.93
2020-04-12,532.29,29.18,9.95,10.87
2020-04-13,548.14,28.82,9.61,11.89
2020-04-14,563.86,29.33,10.23,11.8
2020-04-15,553.0,27.79,10.42,11.51
2020-04-16,567.71,27.04,10.43,11.79
2020-04-17,597.0,27.45,10.93,12.02
2020-04-18,616.57,26.14,10.87,10.98
2020-04-19,633.29,25.24,11.89,10.83
2020-04-20,675.71,22.19,11.8,10.04
2020-04-21,705.0,21.05,11.51,10.2
2020-04-22,765.71,20.11,11.79,10.43
2020-04-23,878.0,18.56,12.02,9.85
2020-04-24,920.43,16.44,10.98,10.19
2020-04-25,934.43,15.61,10.83,11.51
2020-04-26,931.0,14.82,10.04,12.64
2020-04-27,954.86,14.1,10.2,12.93
2020-04-28,1019.43,12.79,10.43,13.68
2020-04-29,1033.29,12.15,9.85,14.06
2020-04-30,1005.43,11.83,10.19,14.44
2020-05-01,1019.29,11.72,11.51,14.02
2020-05-02,1031.57,11.25,12.64,13.64
2020-05-03,1036.43,11.47,12.93,13.1
2020-05-04,1031.14,12.05,13.68,13.67
2020-05-05,998.0,11.51,14.06,15.09
2020-05-06,972.71,11.36,14.44,16.15
2020-05-07,925.29,10.9,14.02,17.69
2020-05-08,890.14,11.27,13.64,18.44
2020-05-09,861.86,11.75,13.1,19.4
2020-05-10,838.86,11.56,13.67,19.07
2020-05-11,824.14,10.77,15.09,18.79
2020-05-12,803.14,11.98,16.15,17.39
2020-05-13,789.14,13.61,17.69,15.87
2020-05-14,765.86,14.85,18.44,13.89
2020-05-15,772.43,15.43,19.4,14.39
2020-05-16,771.71,14.69,19.07,12.81
2020-05-17,774.43,15.8,18.79,13.9
2020-05-18,764.14,16.18,17.39,12.88
2020-05-19,756.71,16.19,15.87,12.75
2020-05-20,741.14,15.78,13.89,13.65
2020-05-21,744.86,15.6,14.39,13.49
2020-05-22,709.71,15.32,12.81,12.11
2020-05-23,683.0,15.73,13.9,12.15
