Date,Cases,GTrend,Traffic
2020-03-04,0,0.0,408.65
2020-03-05,1,0.21,739.79
2020-03-06,3,0.15,738.31
2020-03-07,3,0.06,651.35
2020-03-08,3,0.24,693.3
2020-03-09,5,0.24,765.47
2020-03-10,11,0.24,447.43
2020-03-11,13,2.58,376.01
2020-03-12,21,4.51,769.76
2020-03-13,32,5.8,755.88
2020-03-14,31,4.08,768.89
2020-03-15,40,12.47,779.4
2020-03-16,78,12.09,742.26
2020-03-17,96,19.12,491.3
2020-03-18,162,39.62,401.24
2020-03-19,183,36.46,645.12
2020-03-20,155,36.88,701.6
2020-03-21,125,37.9,732.74
2020-03-22,168,49.36,757.68
2020-03-23,290,39.24,611.88
2020-03-24,350,41.32,386.14
2020-03-25,367,31.68,366.96
2020-03-26,413,28.81,676.4
2020-03-27,405,30.18,625.76
2020-03-28,248,36.43,625.32
2020-03-29,282,30.52,624.78
2020-03-30,439,33.6,620.2
2020-03-31,489,28.68,388.68
2020-04-01,461,27.59,320.88
2020-04-02,437,32.6,602.31
2020-04-03,467,25.86,631.5
2020-04-04,327,37.92,634.44
2020-04-05,292,36.71,539.99
2020-04-06,583,40.78,505.46
2020-04-07,555,40.54,361.65
2020-04-08,705,22.31,350.59
2020-04-09,576,21.65,539.73
2020-04-10,571,14.17,507.02
2020-04-11,397,18.95,560.83
2020-04-12,341,19.6,574.62
2020-04-13,692,19.3,538.89
2020-04-14,664,15.46,386.42
2020-04-15,629,9.8,362.52
2020-04-16,679,13.78,576.2
2020-04-17,776,8.43,635.74
2020-04-18,534,7.9,601.46
2020-04-19,458,13.5,576.87
2020-04-20,989,11.82,578.23
2020-04-21,870,13.53,401.34
2020-04-22,1054,10.33,342.82
2020-04-23,1465,12.27,620.04
2020-04-24,1074,10.37,651.95
2020-04-25,632,16.32,605.73
2020-04-26,434,11.32,612.07
2020-04-27,1156,15.96,604.43
2020-04-28,1323,15.24,426.34
2020-04-29,1151,15.18,372.6
2020-04-30,1270,17.3,656.96
2020-05-01,1170,13.25,650.84
2020-05-02,718,9.75,643.19
2020-05-03,469,12.44,690.7
2020-05-04,1119,22.66,596.35
2020-05-05,1090,22.57,323.82
2020-05-06,974,12.65,326.32
2020-05-07,939,15.84,572.93
2020-05-08,924,13.2,621.82
2020-05-09,521,12.43,597.95
2020-05-10,307,17.11,565.34
2020-05-11,1016,17.21,560.53
2020-05-12,943,14.08,395.54
2020-05-13,876,10.34,311.14
2020-05-14,776,17.53,575.18
2020-05-15,970,14.98,667.21
2020-05-16,515,22.13,606.79
2020-05-17,326,10.07,625.18
2020-05-18,944,9.36,608.97
2020-05-19,891,12.27,426.99
2020-05-20,767,12.59,348.08
2020-05-21,801,13.1,565.14
2020-05-22,724,20.67,597.09
