Date,Cases,GTrend,Traffic,Bike
2020-03-04,0,0.07,408.65,9.25
2020-03-05,1,0.17,739.79,9.75
2020-03-06,3,0.07,738.31,5.42
2020-03-07,3,0.07,9.25,8.25
2020-03-08,3,0.17,9.75,8.33
2020-03-09,5,0.07,5.42,10.67
2020-03-10,11,0.07,8.25,7.5
2020-03-11,13,0.39,8.33,7.58
2020-03-12,21,0.21,10.67,8.08
2020-03-13,32,0.59,7.5,6.92
2020-03-14,31,1.98,7.58,9.25
2020-03-15,40,4.4,8.08,12.92
2020-03-16,78,5.06,6.92,9.42
2020-03-17,96,4.62,9.25,13.08
2020-03-18,162,13.64,12.92,7.92
2020-03-19,183,17.82,9.42,10.83
2020-03-20,155,16.57,13.08,9.17
2020-03-21,125,33.3,7.92,7.5
2020-03-22,168,43.92,10.83,14.58
2020-03-23,290,43.33,9.17,13.0
2020-03-24,350,47.92,7.5,8.58
2020-03-25,367,45.27,14.58,6.08
2020-03-26,413,34.82,13.0,9.08
2020-03-27,405,45.84,8.58,20.75
2020-03-28,248,34.95,6.08,11.33
2020-03-29,282,43.07,9.08,7.67
2020-03-30,439,39.59,20.75,12.0
2020-03-31,490,43.13,11.33,9.83
2020-04-01,461,38.55,7.67,10.25
2020-04-02,437,39.36,12.0,11.0
2020-04-03,467,30.89,9.83,7.58
2020-04-04,327,24.84,10.25,8.92
2020-04-05,292,29.3,11.0,12.0
2020-04-06,581,30.75,7.58,13.33
2020-04-07,555,25.0,8.92,9.92
2020-04-08,705,32.91,12.0,13.75
2020-04-09,576,34.12,13.33,10.58
2020-04-10,571,36.54,9.92,14.75
2020-04-11,397,25.36,13.75,8.25
2020-04-12,341,16.9,10.58,10.0
2020-04-13,692,21.06,14.75,15.25
2020-04-14,665,17.61,8.25,11.58
2020-04-15,629,17.78,10.0,6.42
2020-04-16,679,20.74,15.25,9.58
2020-04-17,776,13.55,11.58,9.17
2020-04-18,534,11.89,6.42,9.42
2020-04-19,458,14.86,9.58,11.58
2020-04-20,989,9.18,9.17,11.17
2020-04-21,870,7.41,9.42,14.0
2020-04-22,1054,10.73,11.58,15.67
2020-04-23,1465,7.61,11.17,17.5
2020-04-24,1073,9.58,14.0,11.17
2020-04-25,632,13.44,15.67,14.64
2020-04-26,434,11.2,17.5,14.25
2020-04-27,1156,14.0,11.17,13.83
2020-04-28,1322,15.95,14.64,11.08
2020-04-29,1151,14.05,14.25,13.0
2020-04-30,1270,15.4,13.83,13.75
2020-05-01,1170,12.12,11.08,15.17
2020-05-02,718,8.6,13.0,24.58
2020-05-03,468,12.25,13.75,21.67
2020-05-04,1119,13.7,15.17,24.58
2020-05-05,1090,12.31,24.58,16.33
2020-05-06,974,10.02,21.67,19.75
2020-05-07,938,13.73,24.58,11.42
2020-05-08,924,18.55,16.33,13.17
2020-05-09,520,10.39,19.75,14.83
2020-05-10,307,16.22,11.42,11.0
2020-05-11,1016,15.02,13.17,10.75
2020-05-12,943,13.39,14.83,19.83
2020-05-13,876,16.24,11.0,8.67
2020-05-14,775,16.79,10.75,19.08
2020-05-15,970,16.36,19.83,6.0
2020-05-16,515,17.56,8.67,13.92
2020-05-17,326,10.62,19.08,17.33
2020-05-18,944,12.67,6.0,9.58
2020-05-19,891,17.54,13.92,10.17
2020-05-20,767,10.26,17.33,9.0
2020-05-21,801,8.72,9.58,11.75
2020-05-22,724,13.13,10.17,12.67
2020-05-23,328,14.81,9.0,10.75
2020-05-24,279,13.65,11.75,16.0
