Date,Cases,GTrend,Traffic,Bike

2020-03-01,0,0.0,408.65,11.67

2020-03-02,0,0.09,739.79,9.75

2020-03-03,0,0.09,738.31,15.5

2020-03-04,0,0.15,651.35,9.25

2020-03-05,1,0.18,693.3,9.75

2020-03-06,3,0.21,765.47,5.42

2020-03-07,3,0.24,447.43,8.25

2020-03-08,3,1.5,376.01,8.33

2020-03-09,5,5.5,769.76,10.67

2020-03-10,11,6.0,755.88,7.5

2020-03-11,13,5.5,768.89,7.58

2020-03-12,21,16.0,779.4,8.08

2020-03-13,32,17.0,742.26,6.92

2020-03-14,31,17.5,491.3,9.25

2020-03-15,40,29.85,401.24,12.92

2020-03-16,78,39.68,645.12,9.42

2020-03-17,96,30.65,701.6,13.08

2020-03-18,162,44.05,732.74,7.92

2020-03-19,183,45.85,757.68,10.83

2020-03-20,155,35.72,611.88,9.17

2020-03-21,125,46.97,386.14,7.5

2020-03-22,168,28.29,366.96,14.58

2020-03-23,290,41.57,676.4,13.0

2020-03-24,350,24.26,625.76,8.58

2020-03-25,367,45.64,625.32,6.08

2020-03-26,413,38.72,624.78,9.08

2020-03-27,405,35.81,620.2,20.75

2020-03-28,248,27.62,388.68,11.33

2020-03-29,282,27.93,320.88,7.67

2020-03-30,439,29.75,602.31,12.0

2020-03-31,489,25.36,631.5,9.83

2020-04-01,461,38.73,634.44,10.25

2020-04-02,437,33.85,539.99,11.0

2020-04-03,467,31.59,505.46,7.58

2020-04-04,327,33.65,361.65,8.92

2020-04-05,292,28.16,350.59,12.0

2020-04-06,583,21.66,539.73,13.33

2020-04-07,555,20.3,507.02,9.92

2020-04-08,705,15.34,560.83,13.75

2020-04-09,576,20.47,574.62,10.58

2020-04-10,571,23.66,538.89,14.75

2020-04-11,397,20.41,386.42,8.25

2020-04-12,341,9.46,362.52,10.0

2020-04-13,692,12.85,576.2,15.25

2020-04-14,664,12.63,635.74,11.58

2020-04-15,629,8.62,601.46,6.42

2020-04-16,679,9.36,576.87,9.58

2020-04-17,776,11.9,578.23,9.17

2020-04-18,534,12.39,401.34,9.42

2020-04-19,458,5.75,342.82,11.58

2020-04-20,989,9.42,620.04,11.17

2020-04-21,870,12.35,651.95,14.0

2020-04-22,1054,13.02,605.73,15.67

2020-04-23,1465,14.08,612.07,17.5

2020-04-24,1074,11.79,604.43,11.17

2020-04-25,632,14.61,426.34,14.64

2020-04-26,434,13.0,372.6,14.25

2020-04-27,1156,11.56,656.96,13.83

2020-04-28,1323,11.63,650.84,11.08

2020-04-29,1151,9.74,643.19,13.0

2020-04-30,1270,10.97,690.7,13.75

2020-05-01,1170,23.46,596.35,15.17

2020-05-02,718,17.78,323.82,24.58

2020-05-03,469,10.15,326.32,21.67

2020-05-04,1119,13.93,572.93,24.58

2020-05-05,1090,17.0,621.82,16.33

2020-05-06,974,16.27,597.95,19.75

2020-05-07,939,14.31,565.34,11.42

2020-05-08,924,18.93,560.53,13.17

2020-05-09,521,15.54,395.54,14.83

2020-05-10,307,14.71,311.14,11.0

2020-05-11,1016,14.91,575.18,10.75

2020-05-12,943,14.97,667.21,19.83

2020-05-13,876,21.02,606.79,8.67

2020-05-14,776,12.02,625.18,19.08

2020-05-15,970,15.19,608.97,6.0

2020-05-16,515,14.04,426.99,13.92

2020-05-17,326,20.03,348.08,17.33

2020-05-18,944,14.5,565.14,9.58

2020-05-19,891,16.73,597.09,10.17

2020-05-20,767,10.8,597.1,9.0

2020-05-21,801,11.79,611.75,11.75

2020-05-22,724,14.32,551.68,12.67

2020-05-23,328,14.65,370.6,10.75

2020-05-24,279,9.44,308.6,16.0

2020-05-25,252,11.71,308.6,16.5

2020-05-26,755,13.04,397.56,14.17

2020-05-27,611,11.68,486.53,6.67

2020-05-28,522,9.61,575.5,7.17

2020-05-29,460,12.3,664.46,11.17

2020-05-30,238,10.15,469.21,14.42

2020-05-31,121,7.95,399.57,17.42

2020-06-01,236,6.69,887.81,7.75
