Date,Cases,GTrend,Traffic
2020-03-02,0,0.0,408.65
2020-03-03,0,0.28,739.79
2020-03-04,0,0.14,738.31
2020-03-05,1,0.14,651.35
2020-03-06,3,0.32,693.3
2020-03-07,3,0.21,765.47
2020-03-08,3,0.35,447.43
2020-03-09,5,1.85,376.01
2020-03-10,11,4.5,769.76
2020-03-11,13,5.3,755.88
2020-03-12,21,5.04,768.89
2020-03-13,32,12.46,779.4
2020-03-14,31,16.05,742.26
2020-03-15,40,16.7,491.3
2020-03-16,78,20.65,401.24
2020-03-17,96,22.82,645.12
2020-03-18,162,23.45,701.6
2020-03-19,183,33.29,732.74
2020-03-20,155,40.98,757.68
2020-03-21,125,36.16,611.88
2020-03-22,168,44.85,386.14
2020-03-23,290,25.05,366.96
2020-03-24,350,30.81,676.4
2020-03-25,367,24.33,625.76
2020-03-26,413,38.75,625.32
2020-03-27,405,29.38,624.78
2020-03-28,248,33.95,620.2
2020-03-29,282,23.14,388.68
2020-03-30,439,27.27,320.88
2020-03-31,489,32.11,602.31
2020-04-01,461,27.54,631.5
2020-04-02,437,43.1,634.44
2020-04-03,467,39.9,539.99
2020-04-04,327,38.95,505.46
2020-04-05,292,43.4,361.65
2020-04-06,583,23.62,350.59
2020-04-07,555,24.71,539.73
2020-04-08,705,17.84,507.02
2020-04-09,576,25.76,560.83
2020-04-10,571,22.68,574.62
2020-04-11,397,14.29,538.89
2020-04-12,341,13.42,386.42
2020-04-13,692,14.52,362.52
2020-04-14,664,15.88,576.2
2020-04-15,629,15.86,635.74
2020-04-16,679,12.96,601.46
2020-04-17,776,13.2,576.87
2020-04-18,534,12.56,578.23
2020-04-19,458,13.38,401.34
2020-04-20,989,11.74,342.82
2020-04-21,870,14.49,620.04
2020-04-22,1054,17.93,651.95
2020-04-23,1465,18.3,605.73
2020-04-24,1074,13.51,612.07
2020-04-25,632,18.9,604.43
2020-04-26,434,15.18,426.34
2020-04-27,1156,12.22,372.6
2020-04-28,1323,18.21,656.96
2020-04-29,1151,16.54,650.84
2020-04-30,1270,13.02,643.19
2020-05-01,1170,12.22,690.7
2020-05-02,718,15.27,596.35
2020-05-03,468,19.18,323.82
2020-05-04,1119,18.1,326.32
2020-05-05,1090,16.14,572.93
2020-05-06,974,15.21,621.82
2020-05-07,939,12.51,597.95
2020-05-08,924,13.65,565.34
2020-05-09,521,15.71,560.53
2020-05-10,307,14.94,395.54
2020-05-11,1016,18.09,311.14
2020-05-12,943,14.71,575.18
2020-05-13,876,12.13,667.21
2020-05-14,776,13.05,606.79
2020-05-15,970,13.83,625.18
2020-05-16,515,11.02,608.97
2020-05-17,326,14.41,426.99
2020-05-18,944,7.68,348.08
2020-05-19,891,7.7,565.14
2020-05-20,767,14.53,597.09
2020-05-21,801,13.41,597.1
2020-05-22,724,12.25,611.75
2020-05-23,328,10.14,551.68
2020-05-24,279,8.95,370.6
2020-05-25,252,6.6,308.6
2020-05-26,755,11.27,308.6
2020-05-27,611,13.3,397.56
2020-05-28,522,8.96,486.53
2020-05-29,460,14.19,575.5
2020-05-30,238,11.28,664.46
2020-05-31,121,12.8,469.21
2020-06-01,236,6.03,399.57
2020-06-02,245,9.47,887.81
2020-06-03,280,6.46,1728.66
2020-06-04,318,5.08,865.13
2020-06-05,339,8.22,961.05
2020-06-06,170,8.79,1034.2
2020-06-07,110,7.46,991.57
2020-06-08,274,5.29,1069.23
2020-06-09,254,3.29,1287.79
2020-06-10,233,6.75,1100.96
2020-06-11,202,5.5,601.01
2020-06-12,248,4.48,544.99
2020-06-13,121,6.38,556.05
2020-06-14,92,6.13,378.41
2020-06-15,235,7.87,493.89
2020-06-16,212,9.61,889.44
2020-06-17,219,8.98,783.17
2020-06-18,184,9.53,729.74
2020-06-19,218,8.63,745.27
2020-06-20,125,5.96,719.3
2020-06-21,47,4.41,422.17
2020-06-22,219,11.43,363.14
2020-06-23,233,14.79,671.92
2020-06-24,243,20.49,700.28
2020-06-25,248,15.81,671.16
2020-06-26,219,23.97,727.86
2020-06-27,130,25.23,684.58
2020-06-28,110,26.76,430.06
2020-06-29,280,33.0,394.56
2020-06-30,265,30.21,676.33
2020-07-01,267,38.19,728.78
2020-07-02,256,19.59,718.21
2020-07-03,176,29.55,430.93
2020-07-04,63,30.96,425.04
2020-07-05,89,15.93,412.16
2020-07-06,283,20.4,419.4
2020-07-07,343,29.98,244.05
2020-07-08,309,29.43,580.4
2020-07-09,288,26.05,684.87
2020-07-10,345,32.88,622.64
2020-07-11,154,26.6,572.7
2020-07-12,97,23.58,424.88
2020-07-13,337,33.87,363.73
2020-07-14,324,41.43,606.06
2020-07-15,267,38.85,626.31
2020-07-16,296,37.71,616.8
2020-07-17,326,26.13,563.46
2020-07-18,132,35.1,494.05
2020-07-19,100,31.35,396.79
2020-07-20,392,24.04,338.69
2020-07-21,291,22.45,675.47
2020-07-22,364,18.04,706.37
2020-07-23,318,22.74,672.8
2020-07-24,347,17.06,570.06
2020-07-25,156,18.09,680.43
2020-07-26,96,23.65,465.73
2020-07-27,361,21.46,370.38
2020-07-28,332,38.77,732.96
2020-07-29,446,28.27,785.97
2020-07-30,340,22.23,708.74
2020-07-31,392,29.48,662.04
2020-08-01,140,27.63,628.33
2020-08-02,95,26.08,387.46
2020-08-03,429,21.42,333.8
2020-08-04,369,43.5,638.82
2020-08-05,378,21.07,661.43
2020-08-06,349,34.25,707.96
2020-08-07,418,37.94,663.73
2020-08-08,177,32.12,575.82
2020-08-09,115,37.41,443.59
2020-08-10,376,22.74,357.03
2020-08-11,384,23.1,99.35
2020-08-12,433,29.52,1468.0
2020-08-13,391,23.67,748.04
2020-08-14,347,25.35,701.4
2020-08-15,221,22.83,635.79
2020-08-16,120,29.64,455.6
2020-08-17,493,14.11,390.26
2020-08-18,412,21.59,679.65
2020-08-19,484,19.96,716.94
2020-08-20,424,22.01,672.75
2020-08-21,431,24.78,820.53
2020-08-22,191,18.54,660.13
2020-08-23,129,14.02,401.2
2020-08-24,556,21.07,340.73
2020-08-25,412,22.54,609.8
2020-08-26,388,14.81,449.39
2020-08-27,385,18.14,328.6
2020-08-28,382,15.15,641.93
2020-08-29,235,12.91,642.09
2020-08-30,101,17.66,441.74
2020-08-31,413,18.13,370.23
2020-09-01,331,18.84,638.88
2020-09-02,407,24.26,539.18
2020-09-03,340,15.54,678.57
2020-09-04,396,18.78,629.92
2020-09-05,203,23.12,663.22
2020-09-06,143,17.43,504.78
2020-09-07,72,9.54,407.3
2020-09-08,368,15.5,406.79
2020-09-09,401,23.57,713.79
2020-09-10,329,18.05,668.58
2020-09-11,343,10.48,708.2
