Date,Cases,GTrend,Traffic,Bike
2020-03-02,0,0.0,408.65,9.75
2020-03-03,0,0.0,9.75,15.5
2020-03-04,0,0.28,15.5,9.25
2020-03-05,1,0.14,9.25,9.75
2020-03-06,3,0.14,9.75,5.42
2020-03-07,3,0.32,5.42,8.25
2020-03-08,3,0.21,8.25,8.33
2020-03-09,5,0.35,8.33,10.67
2020-03-10,11,1.85,10.67,7.5
2020-03-11,13,4.5,7.5,7.58
2020-03-12,21,5.3,7.58,8.08
2020-03-13,32,5.04,8.08,6.92
2020-03-14,31,12.46,6.92,9.25
2020-03-15,40,16.05,9.25,12.92
2020-03-16,78,16.7,12.92,9.42
2020-03-17,96,20.65,9.42,13.08
2020-03-18,162,22.82,13.08,7.92
2020-03-19,183,23.45,7.92,10.83
2020-03-20,155,33.29,10.83,9.17
2020-03-21,125,40.98,9.17,7.5
2020-03-22,168,36.16,7.5,14.58
2020-03-23,290,44.85,14.58,13.0
2020-03-24,350,25.05,13.0,8.58
2020-03-25,367,30.81,8.58,6.08
2020-03-26,413,24.33,6.08,9.08
2020-03-27,405,38.75,9.08,20.75
2020-03-28,248,29.38,20.75,11.33
2020-03-29,282,33.95,11.33,7.67
2020-03-30,439,23.14,7.67,12.0
2020-03-31,489,27.27,12.0,9.83
2020-04-01,461,32.11,9.83,10.25
2020-04-02,437,27.54,10.25,11.0
2020-04-03,467,43.1,11.0,7.58
2020-04-04,327,39.9,7.58,8.92
2020-04-05,292,38.95,8.92,12.0
2020-04-06,583,43.4,12.0,13.33
2020-04-07,555,23.62,13.33,9.92
2020-04-08,705,24.71,9.92,13.75
2020-04-09,576,17.84,13.75,10.58
2020-04-10,571,25.76,10.58,14.75
2020-04-11,397,22.68,14.75,8.25
2020-04-12,341,14.29,8.25,10.0
2020-04-13,692,13.42,10.0,15.25
2020-04-14,664,14.52,15.25,11.58
2020-04-15,629,15.88,11.58,6.42
2020-04-16,679,15.86,6.42,9.58
2020-04-17,776,12.96,9.58,9.17
2020-04-18,534,13.2,9.17,9.42
2020-04-19,458,12.56,9.42,11.58
2020-04-20,989,13.38,11.58,11.17
2020-04-21,870,11.74,11.17,14.0
2020-04-22,1054,14.49,14.0,15.67
2020-04-23,1465,17.93,15.67,17.5
2020-04-24,1074,18.3,17.5,11.17
2020-04-25,632,13.51,11.17,14.64
2020-04-26,434,18.9,14.64,14.25
2020-04-27,1156,15.18,14.25,13.83
2020-04-28,1323,12.22,13.83,11.08
2020-04-29,1151,18.21,11.08,13.0
2020-04-30,1270,16.54,13.0,13.75
2020-05-01,1170,13.02,13.75,15.17
2020-05-02,718,12.22,15.17,24.58
2020-05-03,468,15.27,24.58,21.67
2020-05-04,1119,19.18,21.67,24.58
2020-05-05,1090,18.1,24.58,16.33
2020-05-06,974,16.14,16.33,19.75
2020-05-07,939,15.21,19.75,11.42
2020-05-08,924,12.51,11.42,13.17
2020-05-09,521,13.65,13.17,14.83
2020-05-10,307,15.71,14.83,11.0
2020-05-11,1016,14.94,11.0,10.75
2020-05-12,943,18.09,10.75,19.83
2020-05-13,876,14.71,19.83,8.67
2020-05-14,776,12.13,8.67,19.08
2020-05-15,970,13.05,19.08,6.0
2020-05-16,515,13.83,6.0,13.92
2020-05-17,326,11.02,13.92,17.33
2020-05-18,944,14.41,17.33,9.58
2020-05-19,891,7.68,9.58,10.17
2020-05-20,767,7.7,10.17,9.0
2020-05-21,801,14.53,9.0,11.75
2020-05-22,724,13.41,11.75,12.67
2020-05-23,328,12.25,12.67,10.75
2020-05-24,279,10.14,10.75,16.0
2020-05-25,252,8.95,16.0,16.5
2020-05-26,755,6.6,16.5,14.17
2020-05-27,611,11.27,14.17,6.67
2020-05-28,522,13.3,6.67,7.17
2020-05-29,460,8.96,7.17,11.17
2020-05-30,238,14.19,11.17,14.42
2020-05-31,121,11.28,14.42,17.42
2020-06-01,236,12.8,17.42,7.75
2020-06-02,245,6.03,7.75,19.42
2020-06-03,280,9.47,19.42,12.75
2020-06-04,318,6.46,12.75,8.5
2020-06-05,339,5.08,8.5,16.17
2020-06-06,170,8.22,16.17,15.0
2020-06-07,110,8.79,15.0,12.42
2020-06-08,274,7.46,12.42,12.42
2020-06-09,254,5.29,12.42,15.58
2020-06-10,233,3.29,15.58,13.17
2020-06-11,202,6.75,13.17,18.08
2020-06-12,248,5.5,18.08,9.17
2020-06-13,121,4.48,9.17,26.75
2020-06-14,92,6.38,26.75,13.08
2020-06-15,235,6.13,13.08,6.25
2020-06-16,212,7.87,6.25,21.67
2020-06-17,219,9.61,21.67,10.75
2020-06-18,184,8.98,10.75,13.33
2020-06-19,218,9.53,13.33,10.58
2020-06-20,125,8.63,10.58,21.08
2020-06-21,47,5.96,21.08,18.5
2020-06-22,219,4.41,18.5,14.08
2020-06-23,233,11.43,14.08,14.42
2020-06-24,243,14.79,14.42,12.08
2020-06-25,248,20.49,12.08,13.0
2020-06-26,219,15.81,13.0,22.33
2020-06-27,130,23.97,22.33,9.25
2020-06-28,110,25.23,9.25,11.92
2020-06-29,280,26.76,11.92,11.27
2020-06-30,265,33.0,11.27,13.92
2020-07-01,267,30.21,13.92,12.42
2020-07-02,256,38.19,12.42,10.0
2020-07-03,176,19.59,10.0,26.42
2020-07-04,63,29.55,26.42,13.0
2020-07-05,89,30.96,13.0,10.67
2020-07-06,283,15.93,10.67,13.08
2020-07-07,343,20.4,13.08,13.75
2020-07-08,309,29.98,13.75,15.33
2020-07-09,288,29.43,15.33,24.42
2020-07-10,345,26.05,24.42,17.18
2020-07-11,154,32.88,17.18,31.5
2020-07-12,97,26.6,31.5,34.0
2020-07-13,337,23.58,34.0,26.83
2020-07-14,324,33.87,26.83,21.33
2020-07-15,267,41.43,21.33,23.67
2020-07-16,296,38.85,23.67,19.0
2020-07-17,326,37.71,19.0,17.33
2020-07-18,132,26.13,17.33,22.5
2020-07-19,100,35.1,22.5,17.67
2020-07-20,392,31.35,17.67,23.08
2020-07-21,291,24.04,23.08,12.83
2020-07-22,364,22.45,12.83,10.5
2020-07-23,318,18.04,10.5,12.33
2020-07-24,347,22.74,12.33,14.33
2020-07-25,156,17.06,14.33,22.33
2020-07-26,96,18.09,22.33,15.67
2020-07-27,361,23.65,15.67,14.17
2020-07-28,332,21.46,14.17,11.42
2020-07-29,446,38.77,11.42,12.42
2020-07-30,340,28.27,12.42,11.67
2020-07-31,392,22.23,11.67,13.17
2020-08-01,140,29.48,13.17,14.25
2020-08-02,95,27.63,14.25,11.67
2020-08-03,429,26.08,11.67,11.08
2020-08-04,369,21.42,11.08,11.5
2020-08-05,378,43.5,11.5,10.67
2020-08-06,349,21.07,10.67,11.08
2020-08-07,418,34.25,11.08,14.25
2020-08-08,177,37.94,14.25,13.92
2020-08-09,115,32.12,13.92,13.42
2020-08-10,376,37.41,13.42,5.33
2020-08-11,384,22.74,5.33,12.58
2020-08-12,433,23.1,12.58,9.5
2020-08-13,391,29.52,9.5,11.25
2020-08-14,347,23.67,11.25,13.67
2020-08-15,221,25.35,13.67,13.42
2020-08-16,120,22.83,13.42,16.25
2020-08-17,493,29.64,16.25,10.17
2020-08-18,412,14.11,10.17,12.58
2020-08-19,484,21.59,12.58,22.42
2020-08-20,424,19.96,22.42,12.5
2020-08-21,431,22.01,12.5,13.5
2020-08-22,191,24.78,13.5,18.83
2020-08-23,129,18.54,18.83,13.83
2020-08-24,556,14.02,13.83,12.42
2020-08-25,412,21.07,12.42,12.92
2020-08-26,388,22.54,12.92,10.75
2020-08-27,385,14.81,10.75,18.5
2020-08-28,382,18.14,18.5,13.17
2020-08-29,235,15.15,13.17,15.17
2020-08-30,101,12.91,15.17,11.0
