Date,Cases,GTrend,Traffic,Bike
2020-03-01,0,0.0,408.65,11.67
2020-03-02,0,0.15,739.79,9.75
2020-03-03,0,0.24,738.31,15.5
2020-03-04,0,0.15,651.35,9.25
2020-03-05,1,0.24,693.3,9.75
2020-03-06,3,0.24,765.47,5.42
2020-03-07,3,0.39,447.43,8.25
2020-03-08,3,1.76,376.01,8.33
2020-03-09,5,3.96,769.76,10.67
2020-03-10,11,5.5,755.88,7.5
2020-03-11,13,5.28,768.89,7.58
2020-03-12,21,14.08,779.4,8.08
2020-03-13,32,14.87,742.26,6.92
2020-03-14,31,15.17,491.3,9.25
2020-03-15,40,27.88,401.24,12.92
2020-03-16,78,28.64,645.12,9.42
2020-03-17,96,35.73,701.6,13.08
2020-03-18,162,36.61,732.74,7.92
2020-03-19,183,34.22,757.68,10.83
2020-03-20,155,32.12,611.88,9.17
2020-03-21,125,42.1,386.14,7.5
2020-03-22,168,29.78,366.96,14.58
2020-03-23,290,41.57,676.4,13.0
2020-03-24,350,29.58,625.76,8.58
2020-03-25,367,40.3,625.32,6.08
2020-03-26,413,36.91,624.78,9.08
2020-03-27,405,33.47,620.2,20.75
2020-03-28,248,30.63,388.68,11.33
2020-03-29,282,27.01,320.88,7.67
2020-03-30,439,33.84,602.31,12.0
2020-03-31,489,31.5,631.5,9.83
2020-04-01,461,29.63,634.44,10.25
2020-04-02,437,30.45,539.99,11.0
2020-04-03,467,37.38,505.46,7.58
2020-04-04,327,27.65,361.65,8.92
2020-04-05,292,19.39,350.59,12.0
2020-04-06,583,16.74,539.73,13.33
2020-04-07,555,13.8,507.02,9.92
2020-04-08,705,16.21,560.83,13.75
2020-04-09,576,20.54,574.62,10.58
2020-04-10,571,17.89,538.89,14.75
2020-04-11,397,16.72,386.42,8.25
2020-04-12,341,16.28,362.52,10.0
2020-04-13,692,11.02,576.2,15.25
2020-04-14,664,9.44,635.74,11.58
2020-04-15,629,10.1,601.46,6.42
2020-04-16,679,9.22,576.87,9.58
2020-04-17,776,9.88,578.23,9.17
2020-04-18,534,11.74,401.34,9.42
2020-04-19,458,7.59,342.82,11.58
2020-04-20,989,10.21,620.04,11.17
2020-04-21,870,11.56,651.95,14.0
2020-04-22,1054,12.02,605.73,15.67
2020-04-23,1465,8.66,612.07,17.5
2020-04-24,1074,12.41,604.43,11.17
2020-04-25,632,12.52,426.34,14.64
2020-04-26,434,11.49,372.6,14.25
2020-04-27,1156,13.29,656.96,13.83
2020-04-28,1323,11.77,650.84,11.08
2020-04-29,1151,9.7,643.19,13.0
2020-04-30,1270,10.08,690.7,13.75
2020-05-01,1170,15.21,596.35,15.17
2020-05-02,718,22.67,323.82,24.58
2020-05-03,468,16.83,326.32,21.67
2020-05-04,1119,17.45,572.93,24.58
2020-05-05,1090,20.59,621.82,16.33
2020-05-06,974,20.27,597.95,19.75
2020-05-07,939,16.42,565.34,11.42
2020-05-08,924,18.3,560.53,13.17
2020-05-09,521,17.22,395.54,14.83
2020-05-10,307,16.8,311.14,11.0
2020-05-11,1016,15.12,575.18,10.75
2020-05-12,943,14.0,667.21,19.83
2020-05-13,876,22.56,606.79,8.67
2020-05-14,776,15.12,625.18,19.08
2020-05-15,970,16.16,608.97,6.0
2020-05-16,515,16.32,426.99,13.92
2020-05-17,326,15.71,348.08,17.33
2020-05-18,944,12.38,565.14,9.58
2020-05-19,891,17.2,597.09,10.17
2020-05-20,767,15.34,597.1,9.0
2020-05-21,801,9.24,611.75,11.75
2020-05-22,724,9.12,551.68,12.67
2020-05-23,328,15.33,370.6,10.75
2020-05-24,279,7.69,308.6,16.0
2020-05-25,252,10.62,308.6,16.5
2020-05-26,755,12.9,397.56,14.17
2020-05-27,611,11.57,486.53,6.67
2020-05-28,522,13.06,575.5,7.17
2020-05-29,460,10.21,664.46,11.17
2020-05-30,238,11.55,469.21,14.42
2020-05-31,121,10.7,399.57,17.42
2020-06-01,236,7.95,887.81,7.75
2020-06-02,245,3.8,1728.66,19.42
2020-06-03,280,4.93,865.13,12.75
2020-06-04,318,8.07,961.05,8.5
2020-06-05,339,5.75,1034.2,16.17
2020-06-06,170,7.73,991.57,15.0
2020-06-07,110,3.7,1069.23,12.42
2020-06-08,274,2.35,1287.79,12.42
2020-06-09,254,4.46,1100.96,15.58
2020-06-10,233,3.8,601.01,13.17
2020-06-11,202,3.47,544.99,18.08
2020-06-12,248,5.97,556.05,9.17
