Date,Cases,GTrend,Traffic,Bike
2020-01-01,,,407.61,12.36
2020-01-02,,,690.39,10.75
2020-01-03,,,626.78,17.2
2020-01-04,,,444.81,12.0
2020-01-05,,,409.29,20.17
2020-01-06,,,775.91,11.58
2020-01-07,,,744.55,11.5
2020-01-08,,,793.67,11.33
2020-01-09,,,772.99,19.25
2020-01-10,,,720.83,11.25
2020-01-11,,,494.56,19.67
2020-01-12,,0.0,424.63,12.17
2020-01-13,,,792.01,7.75
2020-01-14,,,791.74,15.42
2020-01-15,,,690.99,15.83
2020-01-16,,,781.64,15.42
2020-01-17,,,714.02,10.92
2020-01-18,,,473.13,13.58
2020-01-19,,0.0,408.47,11.75
2020-01-20,,,762.17,13.25
2020-01-21,,,725.26,12.58
2020-01-22,,,757.23,16.25
2020-01-23,,,706.85,14.17
2020-01-24,,,725.9,7.33
2020-01-25,,,394.02,19.67
2020-01-26,,0.0,415.0,10.83
2020-01-27,,,737.42,20.67
2020-01-28,,,758.22,18.0
2020-01-29,,,809.85,7.25
2020-01-30,,,717.91,13.33
2020-01-31,,,711.66,18.33
2020-02-01,,,459.33,6.58
2020-02-02,,0.0,376.47,20.92
2020-02-03,,,740.25,21.5
2020-02-04,,,741.18,17.5
2020-02-05,,,757.24,11.92
2020-02-06,,,714.03,15.33
2020-02-07,,,744.51,13.58
2020-02-08,,,514.36,21.5
2020-02-09,,0.0,458.73,22.17
2020-02-10,,,782.18,8.25
2020-02-11,,,754.75,14.67
2020-02-12,,,724.8,19.58
2020-02-13,,,781.39,10.83
2020-02-14,,,777.8,10.08
2020-02-15,,,500.69,18.17
2020-02-16,,0.0,387.6,30.0
2020-02-17,,,753.89,17.08
2020-02-18,,,752.92,16.92
2020-02-19,,,761.31,11.0
2020-02-20,,,804.47,17.83
2020-02-21,,,767.49,16.67
2020-02-22,,,486.06,30.17
2020-02-23,,0.5,434.59,21.42
2020-02-24,,,696.07,6.0
2020-02-25,,,713.19,8.42
2020-02-26,,,775.78,11.25
2020-02-27,,,798.17,10.5
2020-02-28,,,719.76,7.58
2020-02-29,,,448.65,16.33
2020-03-01,0,3.5,408.65,11.67
2020-03-02,0,,739.79,9.75
2020-03-03,0,,738.31,15.5
2020-03-04,0,,651.35,9.25
2020-03-05,1,,693.3,9.75
2020-03-06,3,,765.47,5.42
2020-03-07,3,,447.43,8.25
2020-03-08,3,19.5,376.01,8.33
2020-03-09,5,,769.76,10.67
2020-03-10,11,,755.88,7.5
2020-03-11,13,,768.89,7.58
2020-03-12,21,,779.4,8.08
2020-03-13,32,,742.26,6.92
2020-03-14,31,,491.3,9.25
2020-03-15,40,37.5,401.24,12.92
2020-03-16,78,,645.12,9.42
2020-03-17,96,,701.6,13.08
2020-03-18,162,,732.74,7.92
2020-03-19,183,,757.68,10.83
